dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2000-02-01,14.853,0.269,Abohar,India,29.74N,73.85E
2000-03-01,21.473000000000006,0.415,Abohar,India,29.74N,73.85E
2000-04-01,30.352,0.388,Abohar,India,29.74N,73.85E
2000-05-01,35.24200000000001,0.529,Abohar,India,29.74N,73.85E
2000-06-01,34.725,0.374,Abohar,India,29.74N,73.85E
2000-07-01,32.841,0.394,Abohar,India,29.74N,73.85E
2000-08-01,32.539,0.4270000000000001,Abohar,India,29.74N,73.85E
2000-09-01,30.612,0.237,Abohar,India,29.74N,73.85E
2000-10-01,27.512,0.305,Abohar,India,29.74N,73.85E
2000-11-01,20.741,0.29600000000000004,Abohar,India,29.74N,73.85E
2000-12-01,15.533,0.478,Abohar,India,29.74N,73.85E
2001-01-01,12.267999999999999,0.556,Abohar,India,29.74N,73.85E
2001-02-01,17.259,0.305,Abohar,India,29.74N,73.85E
2001-03-01,22.726,0.32299999999999995,Abohar,India,29.74N,73.85E
2001-04-01,27.841,0.942,Abohar,India,29.74N,73.85E
2001-05-01,34.236999999999995,0.366,Abohar,India,29.74N,73.85E
2001-06-01,33.202,0.649,Abohar,India,29.74N,73.85E
2001-07-01,32.452,0.407,Abohar,India,29.74N,73.85E
2001-08-01,32.295,0.35,Abohar,India,29.74N,73.85E
2001-09-01,30.836,0.409,Abohar,India,29.74N,73.85E
2001-10-01,27.173000000000002,0.268,Abohar,India,29.74N,73.85E
2001-11-01,20.711,0.244,Abohar,India,29.74N,73.85E
2001-12-01,15.548,0.354,Abohar,India,29.74N,73.85E
2002-01-01,13.137,0.523,Abohar,India,29.74N,73.85E
2002-02-01,16.009999999999998,0.6920000000000001,Abohar,India,29.74N,73.85E
2002-03-01,23.184,0.295,Abohar,India,29.74N,73.85E
2002-04-01,30.004,0.221,Abohar,India,29.74N,73.85E
2002-05-01,35.243,0.407,Abohar,India,29.74N,73.85E
2002-06-01,35.616,0.243,Abohar,India,29.74N,73.85E
2002-07-01,34.985,0.581,Abohar,India,29.74N,73.85E
2002-08-01,33.171,0.307,Abohar,India,29.74N,73.85E
2002-09-01,29.824,0.416,Abohar,India,29.74N,73.85E
2002-10-01,26.881,0.359,Abohar,India,29.74N,73.85E
2002-11-01,20.715,0.258,Abohar,India,29.74N,73.85E
2002-12-01,15.672,0.519,Abohar,India,29.74N,73.85E
2003-01-01,11.776,1.081,Abohar,India,29.74N,73.85E
2003-02-01,16.248,0.328,Abohar,India,29.74N,73.85E
2003-03-01,21.999,0.467,Abohar,India,29.74N,73.85E
2003-04-01,29.352,0.589,Abohar,India,29.74N,73.85E
2003-05-01,33.025,0.633,Abohar,India,29.74N,73.85E
2003-06-01,36.065,0.474,Abohar,India,29.74N,73.85E
2003-07-01,32.359,0.7020000000000001,Abohar,India,29.74N,73.85E
2003-08-01,31.888,0.496,Abohar,India,29.74N,73.85E
2003-09-01,30.348000000000006,0.505,Abohar,India,29.74N,73.85E
2003-10-01,25.765,0.398,Abohar,India,29.74N,73.85E
2003-11-01,18.875999999999998,0.509,Abohar,India,29.74N,73.85E
2003-12-01,14.527000000000001,0.383,Abohar,India,29.74N,73.85E
2004-01-01,13.145,0.239,Abohar,India,29.74N,73.85E
2004-02-01,17.854,0.601,Abohar,India,29.74N,73.85E
2004-03-01,25.366,0.281,Abohar,India,29.74N,73.85E
2004-04-01,30.71,0.52,Abohar,India,29.74N,73.85E
2004-05-01,33.751999999999995,0.299,Abohar,India,29.74N,73.85E
2004-06-01,33.983000000000004,0.371,Abohar,India,29.74N,73.85E
2004-07-01,34.641999999999996,0.75,Abohar,India,29.74N,73.85E
